,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
0,papatowai,-46.5619,169.4708,44.82,85,98,12.84,NZ,1711580433
1,tiksi,71.6872,128.8694,-9.81,95,100,5.17,RU,1711580433
2,qaqortoq,60.7167,-46.0333,14.4,99,19,2.06,GL,1711580434
3,adamstown,-25.066,-130.1015,76.41,68,48,13.35,PN,1711580434
4,bethel,41.3712,-73.414,51.01,82,100,1.01,US,1711580434
5,galle,6.0367,80.217,79.66,83,100,3.49,LK,1711580435
6,qulsary,46.9531,54.0198,42.37,73,100,24.07,KZ,1711580435
7,port saint john's,-31.6229,29.5448,71.46,91,100,7.09,ZA,1711580435
8,bathsheba,13.2167,-59.5167,81.21,74,20,9.22,BB,1711580436
9,puerto natales,-51.7236,-72.4875,46.6,92,100,2.51,CL,1711580436
10,hamilton,39.1834,-84.5333,50.23,55,20,10.0,US,1711580157
11,port-aux-francais,-49.35,70.2167,42.35,90,99,30.78,TF,1711580415
12,st. john's,47.5649,-52.7093,36.79,63,100,8.05,CA,1711580395
13,tazacorte,28.629,-17.9293,63.57,85,20,6.91,ES,1711580437
14,sakaiminato,35.55,133.2333,46.38,71,75,5.75,JP,1711580438
15,puerto baquerizo moreno,-0.9,-89.6,85.19,74,40,0.0,EC,1711580438
16,nishinoomote,30.7333,131.0,62.35,63,100,18.45,JP,1711580438
17,ushuaia,-54.8,-68.3,47.86,61,100,3.44,AR,1711580252
18,luderitz,-26.6481,15.1594,59.95,89,0,16.42,NA,1711580440
19,mwatate,-3.5029,38.3795,70.93,91,84,0.94,KE,1711580440
20,longyearbyen,78.2186,15.6401,22.84,74,75,10.36,SJ,1711580422
21,afaahiti,-17.75,-149.2833,85.87,76,58,16.87,PF,1711580440
22,uliastay,47.7417,96.8444,13.12,72,92,6.17,MN,1711580441
23,albany,42.6001,-73.9662,46.31,80,100,1.01,US,1711580424
24,laguna,38.421,-121.4238,60.08,81,100,8.05,US,1711580169
25,ribeira grande,38.5167,-28.7,50.77,78,99,15.99,PT,1711580439
26,kajaani,64.2273,27.7285,30.25,93,100,6.91,FI,1711580442
27,talnakh,69.4865,88.3972,-10.84,96,99,5.08,RU,1711580431
28,taungdwingyi,20.0167,95.55,77.41,37,58,2.98,MM,1711580442
29,nchelenge,-9.3451,28.734,75.54,79,70,7.0,ZM,1711580443
30,hawaiian paradise park,19.5933,-154.9731,76.03,89,100,5.01,US,1711580428
31,knoxville,35.9606,-83.9207,68.2,40,0,9.22,US,1711580280
32,kidal,18.4411,1.4078,81.23,21,94,9.55,ML,1711580443
33,kailua-kona,19.6406,-155.9956,81.28,78,9,1.99,US,1711580383
34,khash,28.2211,61.2158,60.15,42,100,0.72,IR,1711580444
35,plainview,40.7765,-73.4673,49.46,80,75,7.0,US,1711580345
36,badger,64.8,-147.5333,39.97,67,75,4.61,US,1711580430
37,mount gambier,-37.8333,140.7667,61.72,69,76,4.5,AU,1711580445
38,onguday,50.75,86.15,33.93,88,100,1.83,RU,1711580445
39,marvejols,44.5538,3.2914,37.33,87,35,13.47,FR,1711580445
40,lihue,21.9789,-159.3672,79.84,77,28,12.21,US,1711580445
41,margaret river,-33.95,115.0667,62.96,72,0,3.4,AU,1711580445
42,utena,55.5,25.6,43.83,60,65,15.82,LT,1711580357
43,quincy,42.2529,-71.0023,57.61,83,100,5.75,US,1711580177
44,carnarvon,-24.8667,113.6333,77.65,63,0,12.95,AU,1711580446
45,thompson,55.7435,-97.8558,21.36,38,75,21.85,CA,1711580430
46,palmer,42.1584,-72.3287,54.5,81,100,6.91,US,1711580426
47,toliara,-23.35,43.6667,79.18,74,0,8.63,MG,1711580447
48,la passe,45.5549,-0.8967,48.43,80,85,24.7,FR,1711580447
49,utrik,11.2278,169.8474,80.47,76,34,20.36,MH,1711580447
50,chonchi,-42.6128,-73.8092,63.61,90,8,1.32,CL,1711580444
51,kuala belait,4.5833,114.1833,78.96,80,100,4.47,BN,1711580448
52,aras-asan,8.8908,126.3033,78.91,86,99,2.06,PH,1711580448
53,isafjordur,66.0755,-23.124,31.1,58,72,12.19,IS,1711580435
54,boa vista,2.8197,-60.6733,94.98,36,66,3.44,BR,1711580417
55,el kala,36.8956,8.4433,55.81,68,3,6.08,DZ,1711580448
56,grytviken,-54.2811,-36.5092,43.56,94,100,11.48,GS,1711580417
57,east london,-33.0153,27.9116,69.53,82,100,4.41,ZA,1711580396
58,princeton,25.5384,-80.4089,80.6,82,75,10.36,US,1711580408
59,emerald,-23.5333,148.1667,76.33,84,100,13.44,AU,1711580381
60,waitangi,-43.9535,-176.5597,56.82,75,100,5.01,NZ,1711580410
61,panorama,40.5878,23.0315,54.68,89,75,5.99,GR,1711580450
62,moyamba,8.1667,-12.4333,78.1,83,48,3.0,SL,1711580450
63,kingston,17.997,-76.7936,85.15,66,20,13.8,JM,1711580199
64,pisco,-13.7,-76.2167,77.05,73,0,18.41,PE,1711580450
65,beyla,8.6833,-8.6333,77.63,71,91,4.59,GN,1711580451
66,bredasdorp,-34.5322,20.0403,64.06,80,100,10.78,ZA,1711580451
67,humberto de campos,-2.5983,-43.4611,76.28,91,99,4.16,BR,1711580451
68,polyarnyy,69.1989,33.4478,10.44,94,31,11.36,RU,1711580451
69,al kharijah,25.4514,30.5464,69.51,11,14,4.88,EG,1711580452
70,edd,13.9297,41.6925,84.2,61,1,16.13,ER,1711580452
71,ilulissat,69.2167,-51.1,19.42,86,100,10.36,GL,1711580452
72,buka,40.8108,69.1986,59.83,64,31,2.84,UZ,1711580452
73,constitucion,-35.3333,-72.4167,56.84,92,43,24.25,CL,1711580452
74,whitehorse,60.7161,-135.0538,42.82,65,75,3.0,CA,1711580453
75,anadyr,64.75,177.4833,1.9,77,75,8.95,RU,1711580443
76,antofagasta,-23.65,-70.4,70.88,82,6,4.38,CL,1711580412
77,susuman,62.7833,148.1667,2.98,98,98,1.01,RU,1711580453
78,baardheere,2.3446,42.2764,81.88,67,63,11.01,SO,1711580454
79,kodiak,57.79,-152.4072,33.71,67,99,5.57,US,1711580454
80,oriximina,-1.7656,-55.8661,82.92,77,100,2.98,BR,1711580454
81,massawa,15.6097,39.45,78.35,72,57,1.39,ER,1711580454
82,touros,-5.1989,-35.4608,81.32,74,99,3.47,BR,1711580455
83,shimoda,34.6667,138.95,50.11,68,100,4.92,JP,1711580455
84,ikot ekpene,5.1794,7.7108,82.22,81,99,6.55,NG,1711580455
85,la'ie,21.6477,-157.9253,80.56,81,0,11.01,US,1711580455
86,port mathurin,-19.6833,63.4167,77.88,65,98,16.67,MU,1711580431
87,edinburgh of the seven seas,-37.0676,-12.3116,66.87,93,100,26.28,SH,1711580456
88,blackmans bay,-43.0167,147.3167,58.73,65,9,3.0,AU,1711580456
89,klaksvik,62.2266,-6.589,36.52,75,100,41.03,FO,1711580456
90,south suffolk,36.7171,-76.5902,51.69,82,100,5.75,US,1711580456
91,tarawa,1.419,172.984,86.09,79,20,9.22,KI,1711580457
92,wailua homesteads,22.0669,-159.378,79.23,78,34,7.0,US,1711580435
93,west island,-12.1568,96.8225,80.58,83,100,9.22,CC,1711580457
94,yellowknife,62.456,-114.3525,27.12,36,20,12.66,CA,1711580363
95,charlestown,-32.95,151.6667,75.02,87,4,5.99,AU,1711580458
96,lebu,-37.6167,-73.65,58.01,89,0,14.34,CL,1711580458
97,lake stevens,48.0151,-122.0637,53.83,83,100,16.11,US,1711580409
98,mangai,-4.05,19.5333,74.57,83,100,1.32,CD,1711580458
99,progreso,21.2833,-89.6667,86.11,88,2,15.03,MX,1711580459
100,los andes,-32.8337,-70.5983,75.0,49,2,5.97,CL,1711580412
101,codrington,-38.2667,141.9667,60.13,73,93,4.85,AU,1711580459
102,lethem,3.3803,-59.7968,94.6,33,53,9.13,GY,1711580459
103,vernon,50.2581,-119.2691,45.75,82,100,1.14,CA,1711580301
104,puerto ayora,-0.7393,-90.3518,89.56,90,75,4.0,EC,1711580449
105,pervari,37.9357,42.5493,36.91,68,99,6.42,TR,1711580460
106,ambon,-3.6954,128.1814,83.88,95,40,4.61,ID,1711580460
107,gadzhiyevo,69.2551,33.3362,18.79,87,35,12.28,RU,1711580460
108,severo-yeniseyskiy,60.3725,93.0408,0.75,99,100,2.66,RU,1711580461
109,kujang-up,39.8672,126.0303,44.85,92,100,5.86,KP,1711580248
110,poltavka,54.3663,71.7632,34.29,100,100,5.99,RU,1711580461
111,petropavlovsk-kamchatsky,53.0452,158.6483,21.79,50,0,8.95,RU,1711580414
112,montepuez,-13.1256,38.9997,69.4,99,99,4.88,MZ,1711580462
113,callao,-12.0667,-77.15,77.29,69,0,20.71,PE,1711580222
114,taoudenni,22.6783,-3.9836,74.28,13,0,5.93,ML,1711580462
115,boyolangu,-8.1181,111.8935,76.35,90,99,2.71,ID,1711580462
116,tsiombe,-25.3,45.4833,71.11,88,34,9.73,MG,1711580463
117,tura,25.5198,90.2201,66.88,72,26,3.62,IN,1711580463
118,tazovsky,67.4667,78.7,-21.46,100,48,3.29,RU,1711580463
119,troitsko-pechorsk,62.7084,56.1964,17.29,88,100,6.89,RU,1711580464
120,tan-tan,28.438,-11.1032,60.08,63,0,5.99,MA,1711580464
121,mbekenyera,-10.0,38.9833,71.67,97,98,3.36,TZ,1711580464
122,la ronge,55.1001,-105.2842,25.05,36,20,12.66,CA,1711580464
123,iqaluit,63.7506,-68.5145,6.53,66,75,6.91,CA,1711580422
124,vanimo,-2.6741,141.3028,80.44,84,100,3.87,PG,1711580465
125,shevchenko,48.5,35.0,47.77,66,54,6.58,UA,1711580465
126,invercargill,-46.4,168.35,48.02,80,95,13.0,NZ,1711580461
127,keflavik,64.0049,-22.5624,30.63,64,20,17.27,IS,1711580465
128,bam,29.106,58.357,66.96,34,35,7.36,IR,1711580466
129,new plymouth,-39.0667,174.0833,61.81,82,82,17.02,NZ,1711580466
130,island harbour,50.724,-1.2758,49.98,86,99,18.01,GB,1711580466
131,fort st. john,56.2499,-120.8529,40.89,38,75,6.91,CA,1711580407
132,aioun,16.6614,-9.6149,82.62,20,96,8.14,MR,1711580467
133,northumberland,55.25,-2.0,37.85,95,86,8.21,GB,1711580445
134,kunwi,36.2347,128.5728,49.3,77,100,3.2,KR,1711580467
135,cupira,-8.6167,-35.95,74.97,89,100,3.58,BR,1711580437
136,iskateley,67.6803,53.1512,-0.98,99,59,5.99,RU,1711580468
137,rio grande,-32.035,-52.0986,73.51,73,96,8.95,BR,1711580444
138,lerwick,60.1545,-1.1494,44.6,91,88,21.47,GB,1711580468
139,olyokminsk,60.3736,120.4264,6.42,90,100,9.01,RU,1711580469
140,kayangel,8.0823,134.7173,82.74,80,85,18.81,PW,1711580469
141,novohrad-volynskyi,50.5941,27.6165,44.24,70,22,16.11,UA,1711580240
142,guerrero negro,27.9769,-114.0611,71.01,41,0,12.91,MX,1711580469
143,aykhal,66.0,111.5,-24.52,100,63,4.94,RU,1711580279
144,hermanus,-34.4187,19.2345,64.8,83,100,13.42,ZA,1711580470
145,saipan,15.1355,145.701,83.64,1,36,5.01,MP,1711580470
146,nagqu,31.5,92.0,22.87,24,80,4.03,CN,1711580470
147,sanford,28.8006,-81.2731,77.05,74,40,9.22,US,1711580261
148,ola,59.5833,151.2833,19.69,87,100,1.81,RU,1711580471
149,wanning,18.8003,110.3967,73.98,92,56,4.52,CN,1711580471
150,palangkaraya,-2.2,113.8333,74.8,98,100,0.92,ID,1711580471
151,sisimiut,66.9395,-53.6735,8.53,95,73,8.08,GL,1711580445
152,nova vicosa,-17.8919,-39.3719,75.67,94,99,2.48,BR,1711580424
153,olonkinbyen,70.9221,-8.7187,25.36,66,31,3.4,SJ,1711580472
154,walvis bay,-22.9575,14.5053,60.1,80,0,6.69,NA,1711580472
155,udachny,66.4167,112.4,-25.74,99,49,4.63,RU,1711580472
156,hilo,19.7297,-155.09,76.12,92,100,4.61,US,1711580384
157,calvi,42.5,8.8333,48.83,66,75,23.02,FR,1711580473
158,okha,53.5739,142.9478,25.02,88,84,8.39,RU,1711580473
159,ubari,26.5921,12.7805,70.5,22,42,22.48,LY,1711580473
160,shpola,49.0069,31.3947,41.14,76,37,10.04,UA,1711580474
161,atafu village,-8.5421,-172.5159,83.98,72,100,5.41,TK,1711580346
162,juneau,58.3019,-134.4197,48.42,100,29,5.5,US,1711580450
163,san pedro,14.35,121.0167,82.31,81,20,8.05,PH,1711580303
164,paradip garh,20.3167,86.6167,77.79,82,0,11.59,IN,1711580475
165,bilibino,68.0546,166.4372,-1.88,93,45,0.63,RU,1711580461
166,taro,-8.3862,115.28,73.4,87,97,0.11,ID,1711580475
167,freeport,40.6576,-73.5832,49.96,81,75,7.0,US,1711580319
168,kifri,34.6959,44.9661,57.9,45,46,8.41,IQ,1711580476
169,inari,68.906,27.0288,11.97,95,100,4.12,FI,1711580476
170,fale old settlement,-9.3852,-171.2468,83.86,76,100,7.14,TK,1711580476
171,halabjah,35.1778,45.9861,47.88,68,36,1.48,IQ,1711580476
172,antsohihy,-14.8796,47.9875,78.46,70,100,11.43,MG,1711580477
173,adoru,6.9766,7.1627,85.95,64,59,8.55,NG,1711580477
174,vilyuchinsk,52.9306,158.4028,23.27,65,73,2.91,RU,1711580477
175,dondo,-19.6094,34.7431,80.11,89,8,2.66,MZ,1711580477
176,vadso,70.0744,29.7487,23.16,68,0,9.22,NO,1711580465
177,mount pearl,47.5166,-52.7813,35.96,63,100,8.05,CA,1711580467
178,ujae,8.9322,165.7642,81.46,77,95,17.92,MH,1711580478
179,treinta y tres,-33.2333,-54.3833,63.34,76,44,7.7,UY,1711580415
180,susanville,40.4163,-120.653,51.64,59,0,10.0,US,1711580479
181,caala,-12.8525,15.5606,62.13,86,92,2.44,AO,1711580479
182,verkhnevilyuysk,63.4453,120.3167,-7.35,99,92,4.65,RU,1711580480
183,makokou,0.5738,12.8642,72.19,93,81,2.21,GA,1711580480
184,haiku-pauwela,20.9219,-156.3051,82.22,76,25,11.99,US,1711580480
185,college,64.8569,-147.8028,40.06,60,75,4.61,US,1711580401
186,jiamusi,46.8333,130.35,38.46,80,100,8.46,CN,1711580428
187,cherepanovo,54.2222,83.381,28.9,93,100,6.98,RU,1711580481
188,hafar al-batin,28.4328,45.9708,66.78,37,0,6.91,SA,1711580481
189,aasiaat,68.7098,-52.8699,10.51,86,100,10.22,GL,1711580474
190,newport,51.5877,-2.9984,43.45,92,87,6.53,GB,1711580274
191,tubarjal,30.4999,38.216,66.2,35,48,13.27,SA,1711580482
192,griffith,41.5284,-87.4237,43.95,54,75,11.5,US,1711580440
193,chui,-33.6971,-53.4616,64.63,78,77,7.25,UY,1711580483
194,mahanje,-9.9333,35.3333,65.52,98,87,1.12,TZ,1711580483
195,sitka,57.0531,-135.33,49.42,59,98,3.33,US,1711580415
196,vila franca do campo,37.7167,-25.4333,57.61,83,85,26.06,PT,1711580484
197,selfoss,63.9331,-20.9971,26.24,57,0,13.67,IS,1711580484
198,kievka,50.2619,71.5514,32.85,98,26,10.22,KZ,1711580484
199,port elizabeth,-33.918,25.5701,68.09,98,75,3.44,ZA,1711580412
200,new norfolk,-42.7826,147.0587,59.92,63,26,3.29,AU,1711580413
201,mahebourg,-20.4081,57.7,77.25,83,75,4.61,MU,1711580485
202,san luis de la loma,17.2706,-100.8939,79.97,54,7,6.13,MX,1711580485
203,stanley,54.868,-1.6985,38.77,88,20,2.3,GB,1711580451
204,saudarkrokur,65.7461,-19.6394,11.39,90,7,6.64,IS,1711580486
205,bhadasar,28.2833,74.3167,82.02,28,100,9.31,IN,1711580487
206,chalonnes-sur-loire,47.3516,-0.7631,48.04,91,100,22.95,FR,1711580487
207,es castell,39.8795,4.2854,59.68,94,100,20.71,ES,1711580488
208,manavalakurichi,8.1333,77.3,79.75,80,23,3.91,IN,1711580488
209,kuala terengganu,5.3302,103.1408,80.55,94,40,2.3,MY,1711580488
210,punta arenas,-53.15,-70.9167,48.31,81,100,8.05,CL,1711580231
211,rosarito,32.3333,-117.0333,71.53,78,44,7.23,MX,1711580455
212,hesla,24.0667,85.8833,72.99,35,21,5.46,IN,1711580489
213,west end,26.6833,-78.9667,76.98,72,41,9.22,BS,1711580489
214,belomorsk,64.5232,34.7668,21.34,94,96,4.03,RU,1711580489
215,persembe,41.0656,37.7714,50.68,82,93,6.53,TR,1711580489
216,monrovia,6.3005,-10.7969,80.37,90,2,7.87,LR,1711580413
217,igarka,67.4667,86.5833,-24.72,100,19,3.18,RU,1711580466
218,luganville,-15.5333,167.1667,85.3,76,98,0.47,VU,1711580484
219,williamson,30.6502,-97.6003,65.1,61,40,13.8,US,1711580443
220,lompoc,34.6391,-120.4579,69.69,67,0,10.36,US,1711580491
221,ar ruways,24.1103,52.7306,69.66,58,13,9.93,AE,1711580491
222,prince rupert,54.3161,-130.3201,50.09,57,100,3.44,CA,1711580491
223,queimadas,-10.9783,-39.6264,81.72,63,97,10.56,BR,1711580491
224,chegdomyn,51.1167,133.0167,29.97,69,100,1.19,RU,1711580492
225,colonia,50.9333,6.95,47.82,83,0,6.91,DE,1711580353
226,puan,35.7281,126.7319,49.89,85,100,6.89,KR,1711580492
227,qarqaraly,49.4058,75.4742,34.25,91,100,1.19,KZ,1711580493
228,amga,60.8953,131.9608,27.16,96,100,3.6,RU,1711580493
229,yuzhno-kurilsk,44.0306,145.8556,33.19,77,11,5.82,RU,1711580494
230,bol'sherech'ye,56.0925,74.6272,33.71,100,100,5.84,RU,1711580494
231,safford,32.834,-109.7076,66.74,30,0,9.22,US,1711580494
232,mount isa,-20.7333,139.5,74.97,78,43,8.05,AU,1711580461
233,hirara,24.8,125.2833,71.46,88,100,9.22,JP,1711580495
234,katsuren-haebaru,26.3369,127.8719,69.1,77,20,6.91,JP,1711580495
235,port alfred,-33.5906,26.891,66.18,98,100,2.77,ZA,1711580451
236,yeniseysk,58.4497,92.1703,11.95,97,99,4.0,RU,1711580495
237,enewetak,11.3474,162.3373,80.49,75,97,16.87,MH,1711580496
238,sodankyla,67.4167,26.6,16.83,96,97,7.45,FI,1711580496
239,coruripe,-10.1256,-36.1756,82.02,80,95,9.44,BR,1711580204
240,tromso,69.6496,18.957,26.62,80,75,3.44,NO,1711580344
241,le port,-20.9373,55.2919,75.2,76,100,4.07,RE,1711580264
242,malanville,11.8685,3.3899,95.36,31,71,7.31,BJ,1711580497
243,kizel,59.0471,57.6477,24.24,80,100,3.0,RU,1711580497
244,port-cartier,50.0334,-66.8654,32.76,99,100,7.9,CA,1711580498
245,ta`u,-14.2336,-169.5144,84.0,73,100,9.51,AS,1711580498
246,rawson,-43.3002,-65.1023,62.28,50,24,9.64,AR,1711580450
247,saint johnsbury,44.4192,-72.0151,44.58,93,100,0.0,US,1711580498
248,tralee,52.2704,-9.7026,34.65,89,43,7.96,IE,1711580498
249,ormara,25.2088,64.6357,76.23,72,100,14.72,PK,1711580499
250,nhamunda,-2.1861,-56.7131,80.44,86,62,0.98,BR,1711580499
251,ust-nera,64.5667,143.2,13.5,95,86,3.24,RU,1711580421
252,oak grove,45.4168,-122.6401,57.16,76,80,17.0,US,1711580499
253,guangshui,31.6199,113.9978,52.07,92,95,2.59,CN,1711580499
254,roma,43.2128,-75.4557,55.54,75,0,9.22,US,1711580218
255,tucuma,-0.1833,-50.05,77.94,93,18,5.77,BR,1711580500
256,teabo,20.4,-89.2833,98.49,30,0,11.07,MX,1711580500
257,kapuskasing,49.4169,-82.4331,32.09,59,100,27.63,CA,1711580456
258,queenstown,-31.8976,26.8753,60.93,91,100,2.44,ZA,1711580486
259,christchurch,-43.5333,172.6333,66.9,40,100,20.71,NZ,1711580217
260,northam,51.0333,-4.2167,36.39,88,100,5.21,GB,1711580501
261,smithers,54.7804,-127.1743,52.12,32,75,9.22,CA,1711580501
262,agbabu,6.5886,4.8343,80.78,89,80,2.26,NG,1711580501
263,dudinka,69.4058,86.1778,-15.32,99,99,5.01,RU,1711580455
264,el calafate,-50.3408,-72.2768,51.87,81,76,7.05,AR,1711580326
265,bamboo flat,11.7,92.7167,78.89,83,69,2.3,IN,1711580502
266,nyurba,63.2842,118.3319,-11.94,99,89,3.85,RU,1711580502
267,orsa,54.5153,30.4053,38.8,78,93,12.39,BY,1711580220
268,cabedelo,-6.9811,-34.8339,79.47,84,100,5.35,BR,1711580478
269,chengde,40.9725,117.9361,36.12,26,0,15.68,CN,1711580494
270,piacabucu,-10.4056,-36.4344,82.26,79,100,8.48,BR,1711580464
271,sorong,-0.8833,131.25,80.44,85,98,8.41,ID,1711580504
272,lorengau,-2.0226,147.2712,83.17,79,81,2.62,PG,1711580484
273,itaituba,-4.2761,-55.9836,79.41,88,97,1.52,BR,1711580477
274,alamos,27.0167,-108.9333,85.39,8,5,7.16,MX,1711580400
275,sedalia,38.7045,-93.2283,53.44,32,0,4.61,US,1711580342
276,holualoa,19.6228,-155.9522,77.56,78,7,3.0,US,1711580505
277,pytalovo,57.0679,27.9138,42.93,66,86,11.41,RU,1711580505
278,vylkove,45.4021,29.586,47.16,75,42,15.28,UA,1711580505
279,tchintabaraden,15.8969,5.7985,82.72,10,60,6.22,NE,1711580505
280,xilin hot,43.9667,116.0333,16.57,47,78,21.52,CN,1711580228
281,klyuchi,52.2667,79.1667,36.54,96,98,9.33,RU,1711580506
